Espece,Tolerance
Abies_balsamea,3
Acer_rubrum,2
Acer_spicatum,3
Alnus_incana_subsp._rugosa,1
Amelanchier_sp.,
Anaphalis_margaritacea,1
Aralia_nudicaulis,3
Athyrium_filix.femina,3
Bazzania_trilobata,3
Betula_alleghaniensis,2
Betula_papyrifera,1
Carex_sp.,
Chamerion_angustifolium_subsp._angustifolium ,1
Cladonia_sp.,
Cladonia_coniocraea,2
Cladonia_rangiferina,2
Claytosmunda_claytoniana,2
Clintonia_borealis,2
Coptis_trifolia,3
Cornus_alternifolia,3
Cornus_canadensis,2
Cypripedium_acaule,3
Dendrolycopodium_dendroideum,3
Dicranum_sp.,
Diervilla_lonicera,2
Dryopteris_cristata,3
Dryopteris_intermedia,3
Eurybia_macrophylla,2
Epigaea_repens,2
Equisetum_sylvaticum,3
Galium_triflorum,3
Gaultheria_hispidula,3
Goodyera_tesselata,3
Goodyera_repens,3
Gymnocarpium_dryopteris,3
Huperzia_lucidula,3
Hylocomium_splendens,3
Kalmia_angustifolia,1
Linnaea_borealis,2
Lysimachia_borealis,3
Maianthemum_canadense,3
Mitella_nuda,3
Moneses_uniflora,2
Monotropa_uniflora,3
Nabalus_sp.,3
Neottia_cordata,3
Oclemena_acuminata,3
Orthilia_secunda,3
Oxalis_montana,3
Peltigera_sp.,
Phegopteris_connectilis,3
Picea_glauca,3
Picea_mariana,3
Pleuzorium_schreberi,2
Polytrichum_sp.,
Populus_balsamifera,1
Populus_tremuloides,1
Pteridium_aquilinum,2
Ptilium_crista.castrensis,2
Prunus_pensylvanica,1
Rhytidiadelphus_triquetrus,3
Ribes_glandulosum,2
Ribes_lacustre,3
Ribes_triste,3
Rubus_idaeus,1
Rubus_pubescens,3
Sambucus_racemosa,2
Streptopus_amplexifolius,2
Sphagnum_sp.,
Spinulum_annotinum,3
Sorbus_americana,2
Sorbus_decora,2
Taxus_canadensis,3
Trillium_undulatum,3
Vaccinium_angustifolium,1
Vaccinium_myrtilloides,2
Viburnum_edule,2
Viburnum_cassinoides,3
Viola_sp.,3
